id,ts,year,month,day,img_path
master_1604742459.jpg,1604742459,2020,11,7,DeviceData/master/img/master_1604742459.jpg
master_1604742463.jpg,1604742463,2020,11,7,DeviceData/master/img/master_1604742463.jpg
master_1604742467.jpg,1604742467,2020,11,7,DeviceData/master/img/master_1604742467.jpg
master_1604742471.jpg,1604742471,2020,11,7,DeviceData/master/img/master_1604742471.jpg
master_1604742475.jpg,1604742475,2020,11,7,DeviceData/master/img/master_1604742475.jpg
master_1604742479.jpg,1604742479,2020,11,7,DeviceData/master/img/master_1604742479.jpg
master_1604742483.jpg,1604742483,2020,11,7,DeviceData/master/img/master_1604742483.jpg
master_1604742487.jpg,1604742487,2020,11,7,DeviceData/master/img/master_1604742487.jpg
master_1604742491.jpg,1604742491,2020,11,7,DeviceData/master/img/master_1604742491.jpg
master_1604742495.jpg,1604742495,2020,11,7,DeviceData/master/img/master_1604742495.jpg
master_1604742583.jpg,1604742583,2020,11,7,DeviceData/master/img/master_1604742583.jpg
master_1604742587.jpg,1604742587,2020,11,7,DeviceData/master/img/master_1604742587.jpg
master_1604742591.jpg,1604742591,2020,11,7,DeviceData/master/img/master_1604742591.jpg
master_1604742595.jpg,1604742595,2020,11,7,DeviceData/master/img/master_1604742595.jpg
master_1604742599.jpg,1604742599,2020,11,7,DeviceData/master/img/master_1604742599.jpg
master_1604742603.jpg,1604742603,2020,11,7,DeviceData/master/img/master_1604742603.jpg
master_1604742607.jpg,1604742607,2020,11,7,DeviceData/master/img/master_1604742607.jpg
master_1604742611.jpg,1604742611,2020,11,7,DeviceData/master/img/master_1604742611.jpg
master_1604742615.jpg,1604742615,2020,11,7,DeviceData/master/img/master_1604742615.jpg
master_1604742619.jpg,1604742619,2020,11,7,DeviceData/master/img/master_1604742619.jpg
